track_name,artists,tempo,energy,loudness,valence
Angels of the Reef,Dan Gibson's Solitudes,83.687,0.11,-26.081,0.0449
Catch Me In Your Dreams - Original Mix,The Prophet,162.968,0.946,-5.29,0.282
Equilibrium - Radio Edit,NG Rezonance,145.005,0.994,-5.548,0.0393
I Want You,Stephen Sanchez,125.991,0.313,-9.689,0.233
Vela Aberta,Walter Franco,138.329,0.745,-8.642,0.855
Dry Counties,Mountain Sprout,122.132,0.841,-4.418,0.97
Wake Up,Christopher Zondaflex Tyler,90.148,0.298,-15.499,0.812
Condicional,Los Hermanos,129.045,0.883,-5.919,0.822
Fly Me to the Moon,Olivia Ong,114.854,0.38,-10.874,0.232
Big Grief,WAAX,126.015,0.888,-3.911,0.325
Kneel Before Me,SLANDER;Crankdat;Asking Alexandria,150.003,0.97,-2.7,0.279
Not What I Had In Mind,George Jones;The Jones Boys,119.449,0.392,-8.235,0.758
Fractions,Emery,154.017,0.828,-4.893,0.306
Cerita Kita,Tompi,143.991,0.32,-10.39,0.0877
Baixinha - Ao Vivo,Matheus & Kauan,103.982,0.545,-8.204,0.829
Nur noch Schuhe an! - Masken-Version,Mickie Krause,146.949,0.951,-3.52,0.664
Negro,J Balvin,164.107,0.907,-2.223,0.828
Shri Vishnu Dhyanam,Kishori Amonkar,90.381,0.0538,-18.765,0.115
Hanna från Arlöv,Nationalteatern,123.627,0.422,-12.054,0.832
arms,Christina Perri,145.312,0.755,-7.244,0.252
"This Is The Moment - From ""Jekyll And Hyde""",Jason Manford,66.532,0.223,-11.461,0.117
Let Me Love You,DJ Snake;Justin Bieber,99.988,0.716,-5.371,0.163
Sentir Metalero,Aonikenk,144.581,0.9,-4.513,0.431
Mania,Aaryan Shah,91.006,0.717,-6.133,0.31
Não Vá Embora - Ao Vivo,Sambô,91.991,0.734,-5.493,0.628
"Bahut Jatate Ho Pyar (From ""Aadmi Khilona Hai"")",Alka Yagnik;Mohammed Aziz,133.067,0.61,-10.574,0.907
